#name zcmb dz mb dmb
SN801230 0.0206 0.0 19.038 0.120
SN580828 0.5660 0.0 25.519 0.159
SN791303 0.4575 0.0 25.227 0.223
SN701001 0.1085 0.0 22.403 0.122
SN710833 0.0604 0.0 21.168 0.128
SN650303 0.0644 0.0 21.511 0.183
SN710923 0.0192 0.0 18.624 0.156
SN640131 0.7614 0.0 26.478 0.075
SN611127 1.4400 0.0 27.696 0.205
SN730112 0.2657 0.0 24.256 0.122
SN730513 0.2706 0.0 24.498 0.130
SN781320 0.0864 0.0 21.729 0.158
SN660613 0.5962 0.0 25.810 0.136
SN630326 0.2123 0.0 23.523 0.122
SN680607 0.1011 0.0 22.353 0.116
SN771318 1.4721 0.0 27.548 0.162
SN600712 0.2285 0.0 23.935 0.141
SN641334 0.0659 0.0 21.548 0.280
SN720210 0.1569 0.0 23.249 0.216
SN790204 0.2020 0.0 24.026 0.132
SN660210 0.0570 0.0 21.015 0.152
SN630413 0.3803 0.0 25.107 0.180
SN790230 0.8161 0.0 26.450 0.169
SN780311 0.0781 0.0 21.745 0.127
SN570321 0.3263 0.0 24.765 0.181
SN731330 0.9948 0.0 27.101 0.138
SN710829 0.3541 0.0 24.906 0.157
SN751030 0.3727 0.0 25.084 0.175
SN700715 0.5878 0.0 25.917 0.139
SN771020 0.7455 0.0 26.479 0.126
SN620408 0.0918 0.0 22.117 0.250
SN650632 0.0295 0.0 19.738 0.142
SN590806 0.1142 0.0 22.610 0.134
SN751327 0.2236 0.0 23.857 0.106
SN570925 0.2901 0.0 24.536 0.138
SN791033 0.0939 0.0 22.104 0.130
SN800624 0.6543 0.0 26.333 0.272
SN660427 0.3875 0.0 25.115 0.133
SN781001 0.0106 0.0 17.590 0.109
SN630120 0.3262 0.0 24.557 0.107
SN800507 1.2594 0.0 27.222 0.104
SN740419 0.1211 0.0 22.755 0.231
SN600703 0.1093 0.0 22.458 0.195
SN610426 0.0509 0.0 20.852 0.100
SN600821 0.2113 0.0 23.760 0.214
SN720203 0.0433 0.0 20.441 0.125
SN700132 0.2804 0.0 24.344 0.126
SN700223 0.5142 0.0 25.595 0.110
SN731324 0.2968 0.0 24.783 0.122
SN721123 0.1146 0.0 22.602 0.136
SN600929 0.1335 0.0 22.736 0.126
SN600805 0.7662 0.0 26.603 0.127
SN690322 0.0438 0.0 20.356 0.116
SN760122 1.6977 0.0 27.867 0.147
SN591110 0.2481 0.0 24.120 0.141
SN791021 0.2777 0.0 24.160 0.144
SN801214 0.5461 0.0 25.906 0.168
SN770404 0.0291 0.0 19.539 0.124
SN760721 0.3099 0.0 24.529 0.145
SN620518 0.1431 0.0 22.981 0.136
SN631229 0.5978 0.0 25.952 0.155
SN640220 0.1315 0.0 22.799 0.147
SN561021 0.9569 0.0 26.762 0.168
SN790202 0.1147 0.0 22.466 0.166
SN560120 0.1595 0.0 23.049 0.160
SN790910 0.5243 0.0 25.743 0.150
SN610919 0.0790 0.0 21.837 0.134
SN641301 0.0313 0.0 20.005 0.159
SN640501 0.0154 0.0 18.094 0.187
SN680232 0.0397 0.0 20.178 0.190
SN631317 0.0787 0.0 21.611 0.143
SN650306 0.1117 0.0 22.469 0.134
SN681332 0.1384 0.0 22.914 0.153
SN590721 0.4913 0.0 25.614 0.117
SN740230 0.1315 0.0 23.029 0.181
SN770323 0.2109 0.0 23.823 0.115
SN660225 0.4490 0.0 25.267 0.174
SN631230 0.0831 0.0 21.652 0.130
SN720320 0.3861 0.0 25.056 0.154
SN800712 0.3374 0.0 24.885 0.110
SN731005 0.1087 0.0 22.205 0.116
SN651306 0.7971 0.0 26.646 0.119
SN630709 0.1216 0.0 22.942 0.166
SN610422 0.7672 0.0 26.269 0.116
SN641223 0.0288 0.0 19.228 0.168
SN590522 0.5098 0.0 25.466 0.141
SN560302 0.2825 0.0 24.244 0.228
SN720802 1.2158 0.0 27.331 0.197
SN590903 0.4875 0.0 25.460 0.144
SN600228 0.3517 0.0 24.952 0.156
SN671130 0.2362 0.0 24.273 0.121
SN610731 0.1579 0.0 23.260 0.191
SN670815 0.2692 0.0 24.355 0.164
SN600621 0.0086 0.0 16.768 0.135
SN590321 0.0488 0.0 20.699 0.144
SN780106 0.5715 0.0 26.198 0.222
SN680320 0.6241 0.0 25.982 0.209
SN710501 0.0451 0.0 20.469 0.195
SN570419 0.4507 0.0 25.724 0.184
SN641210 0.3900 0.0 25.160 0.185
SN800421 1.1228 0.0 27.279 0.155
SN780411 0.5759 0.0 25.973 0.153
SN610216 1.2828 0.0 27.455 0.142
SN670930 0.2808 0.0 24.271 0.163
SN700403 0.1663 0.0 23.319 0.135
SN710818 0.0138 0.0 18.092 0.115
SN650505 0.0336 0.0 19.837 0.132
SN631228 0.1201 0.0 22.740 0.127
SN701115 0.0664 0.0 21.015 0.235
SN641131 0.0176 0.0 18.691 0.174
SN791228 0.6154 0.0 25.722 0.116
SN681010 0.4479 0.0 25.344 0.171
SN650304 0.3393 0.0 24.779 0.185
SN680429 0.3917 0.0 24.981 0.132
SN731123 0.3535 0.0 25.026 0.123
SN681306 0.0672 0.0 21.333 0.151
SN790325 0.1071 0.0 22.345 0.139
SN651014 0.0153 0.0 18.362 0.146
SN630521 0.5687 0.0 25.801 0.149
SN710905 0.5160 0.0 25.530 0.132
SN670505 0.0126 0.0 17.753 0.155
SN780503 0.0596 0.0 21.310 0.133
SN770216 0.2267 0.0 23.917 0.113
SN621310 0.0574 0.0 21.095 0.155
SN660321 0.0436 0.0 20.490 0.111
SN580801 0.3492 0.0 24.781 0.116
SN790618 0.6538 0.0 26.208 0.122
SN571115 0.2148 0.0 23.935 0.160
SN731203 0.2174 0.0 23.839 0.121
SN740904 0.6903 0.0 26.057 0.119
SN760718 0.3691 0.0 24.887 0.185
SN720725 0.1543 0.0 23.137 0.116
SN581214 0.0324 0.0 19.483 0.140
SN750422 0.2431 0.0 23.921 0.122
SN660609 0.5522 0.0 25.690 0.139
SN640415 0.1851 0.0 23.663 0.189
SN721130 0.3303 0.0 24.739 0.214
SN700903 0.5091 0.0 25.622 0.202
SN771003 0.2827 0.0 24.446 0.145
SN621011 0.1080 0.0 22.660 0.119
SN671326 0.1515 0.0 23.325 0.186
SN780916 0.2163 0.0 23.831 0.138
SN770726 0.0491 0.0 20.897 0.151
SN620606 0.4776 0.0 25.506 0.165
SN761115 0.2371 0.0 24.101 0.181
SN690731 0.1241 0.0 22.792 0.144
SN690125 0.1294 0.0 22.838 0.113
SN680409 0.4494 0.0 25.082 0.150
SN710708 0.4237 0.0 25.307 0.109
SN690727 0.1534 0.0 23.089 0.141
SN771129 0.5014 0.0 25.483 0.116
SN590729 0.1131 0.0 22.370 0.146
SN590301 0.5492 0.0 25.529 0.145
SN731207 0.0561 0.0 21.023 0.137
SN571116 0.1372 0.0 22.924 0.171
SN770208 0.1690 0.0 23.326 0.157
SN800117 0.1418 0.0 23.003 0.115
SN700222 1.6713 0.0 28.036 0.131
SN560134 0.1024 0.0 22.242 0.117
SN740108 0.0299 0.0 19.701 0.141
SN730213 0.5305 0.0 25.818 0.229
SN670233 1.2311 0.0 27.316 0.143
SN651324 0.2607 0.0 24.492 0.117
SN710720 0.2191 0.0 23.872 0.100
SN750322 0.2243 0.0 23.935 0.099
SN640530 0.0194 0.0 18.777 0.114
SN620620 0.0909 0.0 21.901 0.149
SN720306 0.0187 0.0 18.856 0.130
SN620817 0.0021 0.0 14.007 0.148
SN720925 0.1062 0.0 21.916 0.230
SN730117 0.1702 0.0 23.429 0.100
SN631101 0.8793 0.0 26.764 0.140
SN620618 0.6447 0.0 26.067 0.124
SN701023 0.1110 0.0 22.353 0.169
SN670120 0.2703 0.0 24.249 0.116
SN570302 0.3161 0.0 24.403 0.174
SN760727 1.3525 0.0 27.805 0.240
SN630906 0.2079 0.0 23.569 0.185
SN700222 0.0449 0.0 20.602 0.167
SN711019 0.0549 0.0 21.168 0.139
SN650722 0.0873 0.0 21.787 0.099
SN710628 0.0329 0.0 19.759 0.115
SN651204 0.0945 0.0 22.029 0.142
SN760116 0.2071 0.0 23.858 0.127
SN770534 0.1755 0.0 23.781 0.160
SN750708 0.9256 0.0 26.774 0.133
SN560112 0.0368 0.0 19.995 0.164
SN600728 0.2577 0.0 24.153 0.134
SN560113 0.6922 0.0 26.301 0.156
SN640433 1.2330 0.0 27.665 0.135
SN701128 0.1714 0.0 23.321 0.131
SN580913 0.0475 0.0 20.690 0.140
SN701007 0.1720 0.0 23.244 0.142
SN660904 0.3261 0.0 24.767 0.124
SN730918 0.3143 0.0 24.604 0.169
SN580513 0.7093 0.0 26.019 0.166
SN610534 0.7065 0.0 26.158 0.165
SN580424 0.3262 0.0 24.806 0.123
SN691012 1.3125 0.0 27.378 0.123
SN700932 0.1217 0.0 22.843 0.186
SN750325 0.5473 0.0 25.881 0.191
SN750613 0.1407 0.0 23.199 0.163
SN650602 0.4386 0.0 25.406 0.143
SN651115 0.5303 0.0 25.491 0.131
SN740726 0.3122 0.0 24.620 0.164
SN571134 0.4159 0.0 25.140 0.150
SN590924 0.1043 0.0 22.264 0.135
SN700712 0.3197 0.0 24.431 0.179
SN601304 0.2732 0.0 24.517 0.162
SN770926 0.0621 0.0 21.341 0.156
SN681123 0.0355 0.0 19.926 0.120
SN600708 0.1838 0.0 23.516 0.117
SN570303 0.1407 0.0 22.982 0.162
SN671311 0.0023 0.0 14.231 0.113
SN641302 0.1352 0.0 22.788 0.128
SN681017 0.0423 0.0 20.341 0.133
SN590601 0.3920 0.0 25.332 0.133
SN680401 0.1416 0.0 23.090 0.143
SN620216 0.5886 0.0 25.943 0.174
SN700409 1.1654 0.0 27.391 0.231
SN710834 0.0724 0.0 21.496 0.198
SN570610 0.2304 0.0 24.094 0.158
SN641126 1.4881 0.0 27.509 0.146
SN690430 0.0771 0.0 21.556 0.115
SN590821 0.0629 0.0 21.261 0.120
SN641220 0.0293 0.0 19.595 0.129
SN780209 0.5828 0.0 25.849 0.137
SN650610 0.5661 0.0 25.836 0.128
SN580405 0.0406 0.0 20.361 0.110
SN660819 0.0225 0.0 18.824 0.105
SN640517 0.2749 0.0 24.205 0.145
SN620318 0.2019 0.0 24.244 0.280
SN621109 0.5436 0.0 25.776 0.131
SN600409 0.0642 0.0 21.197 0.214
SN620528 0.4943 0.0 25.727 0.131
SN580829 0.5511 0.0 25.598 0.133
SN780806 0.0216 0.0 18.861 0.114
SN620205 0.1166 0.0 22.545 0.244
SN600721 0.3842 0.0 25.018 0.131
SN790232 1.6390 0.0 27.938 0.144
SN570233 0.1794 0.0 23.559 0.115
SN620802 0.7146 0.0 26.256 0.166
SN641112 0.3398 0.0 24.961 0.152
SN590617 0.4674 0.0 25.518 0.194
SN740909 0.2309 0.0 24.131 0.138
SN800402 0.1979 0.0 23.683 0.174
SN760504 0.4358 0.0 25.311 0.143
SN590710 0.1115 0.0 22.550 0.152
SN560525 0.1189 0.0 22.553 0.154
SN740316 0.0686 0.0 21.366 0.106
SN591030 0.3929 0.0 25.007 0.130
SN700612 0.1605 0.0 22.916 0.154
SN741026 0.5699 0.0 25.702 0.148
SN640316 0.1333 0.0 22.620 0.133
SN701309 0.7013 0.0 26.257 0.170
SN721028 0.3020 0.0 24.430 0.163
SN591119 0.2604 0.0 24.111 0.129
SN571018 0.0666 0.0 21.469 0.103
SN641105 0.1867 0.0 23.523 0.269
SN711214 0.2866 0.0 24.353 0.140
SN690813 0.5966 0.0 26.174 0.196
SN670822 0.1182 0.0 22.651 0.162
SN720434 0.4206 0.0 25.167 0.130
SN630922 0.0313 0.0 19.948 0.135
SN561207 0.1056 0.0 22.341 0.197
SN710217 0.3190 0.0 24.743 0.112
SN640705 0.4413 0.0 25.422 0.130
SN791322 0.5143 0.0 25.509 0.169
SN621206 0.3567 0.0 24.868 0.126
SN630517 0.0623 0.0 21.314 0.120
SN701226 0.6626 0.0 25.962 0.135
SN780513 0.1665 0.0 23.344 0.117
SN730525 0.5587 0.0 25.870 0.125
SN751013 0.7101 0.0 26.288 0.101
SN560804 0.1288 0.0 22.616 0.147
SN671134 0.4216 0.0 25.059 0.117
SN640303 0.1599 0.0 23.173 0.150
SN790508 0.2926 0.0 24.458 0.139
SN650824 0.0144 0.0 18.176 0.190
SN560328 0.9548 0.0 26.825 0.118
SN581201 0.0275 0.0 19.444 0.114
SN751115 0.0402 0.0 20.311 0.113
SN641132 0.4227 0.0 25.252 0.102
SN570411 0.0540 0.0 20.997 0.141
SN710611 0.2941 0.0 24.594 0.218
SN700904 0.5101 0.0 25.610 0.116
SN791314 0.0173 0.0 18.623 0.134
SN701327 0.0171 0.0 18.421 0.105
SN740117 0.1471 0.0 23.287 0.136
SN730811 0.0339 0.0 20.046 0.248
SN610521 0.3386 0.0 24.834 0.107
SN660305 0.2429 0.0 24.299 0.149
SN770414 0.0229 0.0 19.030 0.136
SN801026 0.2220 0.0 23.880 0.122
SN770427 0.1293 0.0 22.863 0.167
SN770216 0.0868 0.0 21.752 0.105
SN711228 0.1917 0.0 23.390 0.154
SN570119 0.6961 0.0 26.229 0.118
SN570206 0.1632 0.0 23.083 0.106
SN620919 0.1896 0.0 23.426 0.142
SN660434 0.2556 0.0 24.417 0.159
SN710417 0.0222 0.0 18.997 0.128
SN800102 0.4475 0.0 25.702 0.207
SN721230 0.5827 0.0 26.005 0.156
SN750516 0.7670 0.0 26.307 0.152
SN750830 1.4326 0.0 27.520 0.136
SN680232 0.9650 0.0 26.762 0.126
SN731014 0.2027 0.0 23.738 0.173
SN590731 0.3749 0.0 24.716 0.120
SN580133 0.0072 0.0 16.571 0.154
SN680219 0.0717 0.0 21.631 0.205
SN620412 0.0328 0.0 20.021 0.124
SN560321 0.5215 0.0 25.605 0.108
SN590816 0.3487 0.0 24.841 0.174
SN591223 0.3353 0.0 24.770 0.135
SN720916 0.5475 0.0 26.024 0.136
SN740524 0.9346 0.0 26.761 0.157
SN751117 0.0266 0.0 19.379 0.116
SN800226 0.0428 0.0 20.483 0.187
SN660301 0.5857 0.0 25.848 0.116
SN760607 0.4720 0.0 25.298 0.150
SN790334 0.3333 0.0 24.953 0.129
SN580618 0.2068 0.0 23.764 0.209
SN670322 0.6017 0.0 26.225 0.233
SN630928 0.4303 0.0 25.543 0.157
SN570304 0.2120 0.0 23.680 0.113
SN641109 0.0741 0.0 21.630 0.110
SN600634 0.8794 0.0 26.759 0.155
SN790514 0.7133 0.0 26.346 0.120
SN760628 0.4647 0.0 25.479 0.188
SN761331 0.4667 0.0 25.427 0.165
SN710924 0.0762 0.0 21.616 0.125
SN690931 0.0293 0.0 19.976 0.134
SN570122 0.2341 0.0 24.018 0.116
SN751029 0.1866 0.0 23.526 0.201
SN591115 0.5197 0.0 25.800 0.172
SN720523 0.1717 0.0 23.555 0.225
SN600118 0.7902 0.0 26.566 0.197
SN591014 0.2218 0.0 23.733 0.140
SN710217 0.0251 0.0 19.424 0.113
SN641027 0.5882 0.0 25.944 0.155
SN660626 0.0949 0.0 22.020 0.141
SN730527 1.1593 0.0 27.156 0.126
SN670329 0.4596 0.0 25.358 0.145
SN651202 0.2080 0.0 23.709 0.118
SN770801 0.7632 0.0 26.627 0.149
SN571129 0.2436 0.0 23.957 0.185
SN760218 0.9751 0.0 26.800 0.133
SN560629 0.6813 0.0 26.229 0.150
SN800308 0.6337 0.0 25.981 0.121
SN700834 0.9352 0.0 26.982 0.120
SN640103 0.3008 0.0 24.570 0.145
SN560131 0.1073 0.0 22.756 0.183
SN561311 0.1281 0.0 22.802 0.116
SN770102 0.7851 0.0 26.374 0.127
SN761234 0.0704 0.0 21.522 0.136
SN790922 0.0311 0.0 19.748 0.095
SN630621 0.0847 0.0 21.738 0.132
SN710533 0.0524 0.0 20.886 0.150
SN780203 0.1111 0.0 22.610 0.124
SN740902 0.0111 0.0 17.464 0.147
SN761004 0.5301 0.0 25.637 0.124
SN651011 0.0538 0.0 20.745 0.140
